Recording ID,Song ID,Playlist,Source,Notes
R57F5535B6EDF,S3F184A820BDD,NRG,Main_Song_Database.csv Playlists column,
R2FC41E160B90,S3517DC16316F,NRG,Main_Song_Database.csv Playlists column,
R8923D82B9AF0,SABEC89829298,NRG,Main_Song_Database.csv Playlists column,
R517F6B7A0051,SB5631D98E6C0,NRG,Main_Song_Database.csv Playlists column,
R3EA1D9F14A42,S578B7C33E016,NRG,Main_Song_Database.csv Playlists column,
R50D85BFB9A20,S92131ADC190C,NRG,Main_Song_Database.csv Playlists column,
RF8ADB72061AB,SD2624B820071,NRG,Main_Song_Database.csv Playlists column,
R5B319B5A8BC6,S3A3AA06CE11D,NRG,Main_Song_Database.csv Playlists column,
R42E2A1F682E3,S556AE4CC1D6E,NRG,Main_Song_Database.csv Playlists column,
R3F29A7618470,S9569FD6A5C94,NRG,Main_Song_Database.csv Playlists column,
RE73A730E59D7,S05431179B24D,NRG,Main_Song_Database.csv Playlists column,
R7CC21347AEBB,SF51E53127C10,NRG,Main_Song_Database.csv Playlists column,
R749D646C7F02,S904CBD6E0C9E,NRG,Main_Song_Database.csv Playlists column,
R70F2F0422EE6,S66575F0C518D,NRG,Main_Song_Database.csv Playlists column,
R67C41DFC8F87,SD6C23E986A05,NRG,Main_Song_Database.csv Playlists column,
R3B5D11435FCD,SE96980BEEC06,NRG,Main_Song_Database.csv Playlists column,
R9F08A46C18FB,S04316A23C89E,NRG,Main_Song_Database.csv Playlists column,
RC04A29B80E46,SB2D763632171,NRG,Main_Song_Database.csv Playlists column,
RA971E9D81AFE,SE01883F12A7B,NRG,Main_Song_Database.csv Playlists column,
R9C69F0B785EE,S596B68B8B467,NRG,Main_Song_Database.csv Playlists column,
RBB0D20010131,S7FB6575B18DE,NRG,Main_Song_Database.csv Playlists column,
R2FC8F24B7C0D,SBB08220202DB,NRG,Main_Song_Database.csv Playlists column,
R403348405C2A,SFAD14DBBEDBF,NRG,Main_Song_Database.csv Playlists column,
RB31651BCEDE4,SF3A827BF120B,NRG,Main_Song_Database.csv Playlists column,
RCC997092D317,SDC2E6C029494,NRG,Main_Song_Database.csv Playlists column,
R7B0219A2BE06,S120F82AC1C0E,NRG,Main_Song_Database.csv Playlists column,
R20E67D6B587C,SE552E6A97301,NRG,Main_Song_Database.csv Playlists column,
R52E7943B885A,SCCC61CA4A599,NRG,Main_Song_Database.csv Playlists column,
R34FF39F9EBD8,S43E5FC0F416B,NRG,Main_Song_Database.csv Playlists column,
RD9D0AA16D088,S1D8CDC10E87D,NRG,Main_Song_Database.csv Playlists column,
RB0C27E159D9B,SA7DCD27FD076,NRG,Main_Song_Database.csv Playlists column,
R94F717528BC5,S515C67258192,NRG,Main_Song_Database.csv Playlists column,
R2A46BA80B0BD,SB4035FD87320,NRG,Main_Song_Database.csv Playlists column,
RDA8F57D6210E,SE4A6D3E12168,NRG,Main_Song_Database.csv Playlists column,
R7096CD1D6C9D,SE9BFE4577EAA,NRG,Main_Song_Database.csv Playlists column,
R43CD281431E7,SCFDF492DEBBE,NRG,Main_Song_Database.csv Playlists column,
RD26BBA9F46EF,SFFDDB8BB0ED1,NRG,Main_Song_Database.csv Playlists column,
RECF57B3DDC4C,SEB9C3EA22170,NRG,Main_Song_Database.csv Playlists column,
R79F60FD6E366,S9E6D38359F06,NRG,Main_Song_Database.csv Playlists column,
R32525C5E6C62,S04EC6A34A17B,NRG,Main_Song_Database.csv Playlists column,
R10FC755F1541,S7E3A23222118,NRG,Main_Song_Database.csv Playlists column,
R94B9677CE64B,S27C843056D03,NRG,Main_Song_Database.csv Playlists column,
RB5C465DB16DE,SA2A4B0534A62,NRG,Main_Song_Database.csv Playlists column,
RBBD01BABABD2,S62AF78E4938D,NRG,Main_Song_Database.csv Playlists column,
RD6CA54EC648D,S067FB7EC7803,NRG,Main_Song_Database.csv Playlists column,
R52127385585D,SEF09D106CEDA,NRG,Main_Song_Database.csv Playlists column,
R265DEA363C43,S8D09DF25B268,NRG,Main_Song_Database.csv Playlists column,
RFE7E32827F2F,S5A5D8FB82F9C,NRG,Main_Song_Database.csv Playlists column,
R533B1439317D,S740F2566A8FA,NRG,Main_Song_Database.csv Playlists column,
RC0A74444E20C,SF84988F2590B,NRG,Main_Song_Database.csv Playlists column,
R79C221741423,S7CE6180CF408,NRG,Main_Song_Database.csv Playlists column,
RE79E591C45C0,S59015A846C97,NRG,Main_Song_Database.csv Playlists column,
R7B20EFFF5CAB,S18C257E1EFC8,NRG,Main_Song_Database.csv Playlists column,
RC9D39148294A,S2E2870411C89,NRG,Main_Song_Database.csv Playlists column,
RB0197003CD28,S8EA0D68FE92F,NRG,Main_Song_Database.csv Playlists column,
R80C28A8EEAF1,S67400F79E1DE,NRG,Main_Song_Database.csv Playlists column,
R94CB2DB3D90D,SA9A957A33722,NRG,Main_Song_Database.csv Playlists column,
RA3F5F2E88864,S8C3B530F47D7,NRG,Main_Song_Database.csv Playlists column,
RC72B657CEB96,S303D516506EB,NRG,Main_Song_Database.csv Playlists column,
RF2C1AE5693E3,S52BF3CE67C81,NRG,Main_Song_Database.csv Playlists column,
R4F9B4541ADF5,S729F3EF734A0,NRG,Main_Song_Database.csv Playlists column,
R7410C00F1045,S1C633CF06BFA,NRG,Main_Song_Database.csv Playlists column,
RA81B197F421A,SDE51A8568F9E,NRG,Main_Song_Database.csv Playlists column,
R346C848EF4AF,S61BBEB353ED7,NRG,Main_Song_Database.csv Playlists column,
RA03DFDA27146,SA417455ABC27,NRG,Main_Song_Database.csv Playlists column,
R43934B9BED3C,S6C91F49A2321,NRG,Main_Song_Database.csv Playlists column,
REFE024669CB6,S9F74BDCD63CF,NRG,Main_Song_Database.csv Playlists column,
R9AC94CAFFD6D,SC2A7582F014E,NRG,Main_Song_Database.csv Playlists column,
RDA3CD08E9000,SC5AED7587EF8,NRG,Main_Song_Database.csv Playlists column,
RA0911F4D7420,SD67B7FC0D5D2,NRG,Main_Song_Database.csv Playlists column,
RA843BCE359A9,S479764335C6D,NRG,Main_Song_Database.csv Playlists column,
R00ADF6063C45,S142A7DDDDA5A,NRG,Main_Song_Database.csv Playlists column,
RF41F98345D92,S55A9504BBFA0,NRG,Main_Song_Database.csv Playlists column,
R8286444182A0,S8CFC65D85DE9,NRG,Main_Song_Database.csv Playlists column,
R8B622CA0CED4,SD3A15E9AAF01,NRG,Main_Song_Database.csv Playlists column,
R2DE8FBCEE939,SA5716A3A56A9,NRG,Main_Song_Database.csv Playlists column,
RBBB3BC3689F6,SDD83FA03A15A,NRG,Main_Song_Database.csv Playlists column,
RF85DA00E05D5,SE36D4AF42F2E,NRG,Main_Song_Database.csv Playlists column,
R65755EFE33B8,SB6226C33D680,NRG,Main_Song_Database.csv Playlists column,
R7C68FD5C50FD,S1C827605FF25,NRG,Main_Song_Database.csv Playlists column,
R12A6ADAD1532,SA91288041753,NRG,Main_Song_Database.csv Playlists column,
R712C955C2430,SF0B0AD70690D,NRG,Main_Song_Database.csv Playlists column,
R5B03006DA41B,SA176DF0FE138,NRG,Main_Song_Database.csv Playlists column,
RBFCA898D6E64,SC1DA6A87E4BD,NRG,Main_Song_Database.csv Playlists column,
R71FD93B278CB,SF69C9FD00780,NRG,Main_Song_Database.csv Playlists column,
RFC7E058DF456,S91DBD478051F,NRG,Main_Song_Database.csv Playlists column,
RB092A649998C,S0A74B91460AB,NRG,Main_Song_Database.csv Playlists column,
R96B70850592F,SCE0B498F7AD1,NRG,Main_Song_Database.csv Playlists column,
R5711D6808CC7,S44FA27147B2A,NRG,Main_Song_Database.csv Playlists column,
R28B031C39BAA,S456FF9FBE245,NRG,Main_Song_Database.csv Playlists column,
R906C95D72604,S3DEEA7CFB056,NRG,Main_Song_Database.csv Playlists column,
R74F61CE67993,SD0BD3062E8DB,NRG,Main_Song_Database.csv Playlists column,
R1DD8AB3FF96C,S678A651AD37B,NRG,Main_Song_Database.csv Playlists column,
R4D11D72841E7,S49354A8D9723,NRG,Main_Song_Database.csv Playlists column,
R99E679CACFF9,S2254427175D5,NRG,Main_Song_Database.csv Playlists column,
RF2E8C59D5711,S15529F701E69,NRG,Main_Song_Database.csv Playlists column,
RF94BACF4DC36,SCB433FDFDC2D,NRG,Main_Song_Database.csv Playlists column,
RBBA9C6BB03E7,S3D8342A40BFB,NRG,Main_Song_Database.csv Playlists column,
R528C7CC45D6A,SE912C361EC88,NRG,Main_Song_Database.csv Playlists column,
R1F01C35E1462,S727FEE893B4E,NRG,Main_Song_Database.csv Playlists column,
R56A722D92424,S3685A7EF55FC,NRG,Main_Song_Database.csv Playlists column,
R7614A097F75E,SA153BEC1AA36,NRG,Main_Song_Database.csv Playlists column,
R91FE300709E0,SEA787B8F6B30,NRG,Main_Song_Database.csv Playlists column,
RFB0882585296,S593D12B3371E,NRG,Main_Song_Database.csv Playlists column,
RDB90E4EB7051,S773FBF7F9A3C,NRG,Main_Song_Database.csv Playlists column,
RED92A7185A72,S5A15BDDFFE95,NRG,Main_Song_Database.csv Playlists column,
R7586F5569067,S20B3F0D9A08C,NRG,Main_Song_Database.csv Playlists column,
RBBC0E873A63E,S11D7B8709490,NRG,Main_Song_Database.csv Playlists column,
RC9F9756E3248,S7901DF001203,NRG,Main_Song_Database.csv Playlists column,
RC44A3F70FD7B,SA7A73128B8F4,NRG,Main_Song_Database.csv Playlists column,
R0EC780D0657C,S45B1A250F064,NRG,Main_Song_Database.csv Playlists column,
R963ED4C8E55B,S78E218BF87A1,NRG,Main_Song_Database.csv Playlists column,
R506BC08CBCBF,SCEEB741A95F9,NRG,Main_Song_Database.csv Playlists column,
R2BD492A01886,S5D815A36D1EC,NRG,Main_Song_Database.csv Playlists column,
R30040B69DA6C,S2C103FF755A1,NRG,Main_Song_Database.csv Playlists column,
R832A909BFC5D,S2C103FF755A1,NRG,Main_Song_Database.csv Playlists column,
RA4A494CC5BAC,S4BB60E676DE6,NRG,Main_Song_Database.csv Playlists column,
R280AF1190C13,S588D0BA9D43E,NRG,Main_Song_Database.csv Playlists column,
R4B5E734391FF,S7C00D4EA1B58,NRG,Main_Song_Database.csv Playlists column,
RC1B3D436868E,S0C0EB19672BA,NRG,Main_Song_Database.csv Playlists column,
R789604B0BC82,S87BE91942AEA,NRG,Main_Song_Database.csv Playlists column,
RAF2134963ADD,SFD4DE8E01FDF,NRG,Main_Song_Database.csv Playlists column,
R55CE47B44E70,S6AB49CF3D9C9,NRG,Main_Song_Database.csv Playlists column,
R28105BFCA32B,SD023004A10A9,NRG,Main_Song_Database.csv Playlists column,
R8B816E49B702,S6C826376F6FA,NRG,Main_Song_Database.csv Playlists column,
RFEC32F7A29AD,SC763FC934987,NRG,Main_Song_Database.csv Playlists column,
RD0A428D4810E,S0B9E210809E9,NRG,Main_Song_Database.csv Playlists column,
R08F9A7EF1079,SA6500024D534,NRG,Main_Song_Database.csv Playlists column,
R07C1CA74402B,S47F6C92983A0,NRG,Main_Song_Database.csv Playlists column,
R4A5B9E3B0637,S3BDC815A4F72,NRG,Main_Song_Database.csv Playlists column,
R57C7CD4CB1BB,S3B66B416BA08,NRG,Main_Song_Database.csv Playlists column,
RD24EA38FDABE,S2B282EBFBAE2,NRG,Main_Song_Database.csv Playlists column,
RBFB6C70AD7FB,S33747E52A8C2,NRG,Main_Song_Database.csv Playlists column,
R6A814B3936F4,S7DC4C3F469F9,NRG,Main_Song_Database.csv Playlists column,
R6E184ED53B1A,S9FDAD254F308,NRG,Main_Song_Database.csv Playlists column,
R3B07D5F61A3D,S4DAB109A84DB,NRG,Main_Song_Database.csv Playlists column,
RE75F55369574,S4EDAC1ACD11E,NRG,Main_Song_Database.csv Playlists column,
R9869A9A2FEAD,S5EF87D350E74,NRG,Main_Song_Database.csv Playlists column,
R150A0A3D8A79,S66D942F71A68,NRG,Main_Song_Database.csv Playlists column,
RBF48F61611A5,S5BD17B65CD5F,NRG,Main_Song_Database.csv Playlists column,
RA7E5D35508BF,SABAA2090E25E,NRG,Main_Song_Database.csv Playlists column,
R2A638FD656C8,S039BFC0D20C7,NRG,Main_Song_Database.csv Playlists column,
R8E89DF7D0D09,SC0FEA291B30E,NRG,Main_Song_Database.csv Playlists column,
R752158DA72F3,S4A9DDA79EC4B,NRG,Main_Song_Database.csv Playlists column,
REB8448B01CB6,S1D9568ACB61C,NRG,Main_Song_Database.csv Playlists column,
RFFC8B3E5E935,S27E5E1E5AF7B,NRG,Main_Song_Database.csv Playlists column,
R4C07F92A157A,SA5209F7910AE,NRG,Main_Song_Database.csv Playlists column,
R47926A1D59A8,S0B9F8D345BD2,NRG,Main_Song_Database.csv Playlists column,
RAEA7F3BF1C92,S00C6CFC553BE,NRG,Main_Song_Database.csv Playlists column,
R46142AB25F1B,S85D6CBB3DC75,NRG,Main_Song_Database.csv Playlists column,
R18FD7CD7ADE6,SC86852D7E464,NRG,Main_Song_Database.csv Playlists column,
R4BA859C081FE,S52C15C5D0EBC,NRG,Main_Song_Database.csv Playlists column,
R5FC7D4AFA266,S33119FCF2361,NRG,Main_Song_Database.csv Playlists column,
RC79F7280432C,S59CB28AD9AE5,NRG,Main_Song_Database.csv Playlists column,
R341EE33E5E22,S4382A4637FF2,NRG,Main_Song_Database.csv Playlists column,
R12F9B3DA08EC,S899DE1AD95CC,NRG,Main_Song_Database.csv Playlists column,
RE831397987D9,SFEFB6550C831,NRG,Main_Song_Database.csv Playlists column,
R4A247CAB1EE6,S7E2AF81F851D,NRG,Main_Song_Database.csv Playlists column,
R7B9ADEF4400A,S3EAB0FA5716A,NRG,Main_Song_Database.csv Playlists column,
RE3B1BD89022D,S65ECD6FDEC09,NRG,Main_Song_Database.csv Playlists column,
R3B749483A721,S5B676193F3D8,NRG,Main_Song_Database.csv Playlists column,
R76AAF15047F3,S53357C1400AB,NRG,Main_Song_Database.csv Playlists column,
R570C278A74FA,SAA1CF60973EB,NRG,Main_Song_Database.csv Playlists column,
RF80BBB3C49A2,SDC5F5ACA1F44,NRG,Main_Song_Database.csv Playlists column,
R568387893390,S69177D5C01A4,NRG,Main_Song_Database.csv Playlists column,
REE986AAA9850,S4ABF6DA04F90,NRG,Main_Song_Database.csv Playlists column,
R3BF58892BD42,SA29ACD83465F,NRG,Main_Song_Database.csv Playlists column,
RFB4FF0E6C4D5,SB776F82F9E3C,NRG,Main_Song_Database.csv Playlists column,
R69702F4F7D8A,SAD1E886CEBD3,NRG,Main_Song_Database.csv Playlists column,
RB364B876BFE0,SFA0A79E2451E,NRG,Main_Song_Database.csv Playlists column,
R69B122D53BD6,S1E7EB77C6B84,NRG,Main_Song_Database.csv Playlists column,
R7AD72F7BEC54,SBC6A77D0ED3E,NRG,Main_Song_Database.csv Playlists column,
R1C6356BDD7A1,S611D5ACB8709,NRG,Main_Song_Database.csv Playlists column,
R1C0897043056,SED500DF7F1FA,NRG,Main_Song_Database.csv Playlists column,
RA999118C89A4,S8B35E543CE62,NRG,Main_Song_Database.csv Playlists column,
RD49451F91E3F,S92841E9B8CAE,NRG,Main_Song_Database.csv Playlists column,
R2C35A7AB9A93,S3E18E645C471,NRG,Main_Song_Database.csv Playlists column,
R70C98E726C8A,S43AD18D0DD72,NRG,Main_Song_Database.csv Playlists column,
R6F4D95AC8B22,SF37B773B259B,NRG,Main_Song_Database.csv Playlists column,
R0F2D933A2E5A,S1117F437AB43,NRG,Main_Song_Database.csv Playlists column,
R45929672B74E,S3200D3244F37,NRG,Main_Song_Database.csv Playlists column,
RADA0A5288B8F,S513E98CA5696,NRG,Main_Song_Database.csv Playlists column,
R29E43F6DDC01,S28095675F544,NRG,Main_Song_Database.csv Playlists column,
R64C2C160B078,SB0D48CA047CE,NRG,Main_Song_Database.csv Playlists column,
RA40475B89712,S88441E3E07C6,NRG,Main_Song_Database.csv Playlists column,
RAA02BEA8FD33,S20DE450B4049,NRG,Main_Song_Database.csv Playlists column,
R38BCB59C1552,SC6CBF3A20308,NRG,Main_Song_Database.csv Playlists column,
R3C2D5C429210,SBBBE4A98BD8B,NRG,Main_Song_Database.csv Playlists column,
R31399BBFA5AC,S1F2228C1D17D,NRG,Main_Song_Database.csv Playlists column,
RE8E3F9FD4481,SBE0963AC5BC0,NRG,Main_Song_Database.csv Playlists column,
RB72D7C67D05F,S87FACE136B45,NRG,Main_Song_Database.csv Playlists column,
RD763CFC4EACC,SB24DC27F6213,NRG,Main_Song_Database.csv Playlists column,
RF588ED2A9668,S4E82B509D29E,NRG,Main_Song_Database.csv Playlists column,
R0D999E34B92C,SC32C9A3B97EB,NRG,Main_Song_Database.csv Playlists column,
R073936472F38,S678D81C87D59,NRG,Main_Song_Database.csv Playlists column,
RA217B6E61D72,S467174B1DA65,NRG,Main_Song_Database.csv Playlists column,
R50D4F8BC79DE,S6006B0E3C4F5,NRG,Main_Song_Database.csv Playlists column,
RA8F6725A188E,SB30A6EE2DC80,NRG,Main_Song_Database.csv Playlists column,
R0A22B3CB405F,S128AB9D572B8,NRG,Main_Song_Database.csv Playlists column,
R78A6FED04EEF,SDEB6B31C9886,NRG,Main_Song_Database.csv Playlists column,
R8F20008D0984,S976DE6EE7BDB,NRG,Main_Song_Database.csv Playlists column,
R0AD20B3D5B15,S96DBCFC85884,NRG,Main_Song_Database.csv Playlists column,
RC49BE668CDC3,SCF1220AD1FCD,NRG,Main_Song_Database.csv Playlists column,
R8301B5FDB3DA,S759A0E56E95D,NRG,Main_Song_Database.csv Playlists column,
R57E9D01AF152,SEF09D106CEDA,NRG,Main_Song_Database.csv Playlists column,
R8E0474889C91,S679131065FEB,NRG,Main_Song_Database.csv Playlists column,
R124C3A86E3B7,SEC754B4BAEBA,NRG,Main_Song_Database.csv Playlists column,
R28136B6DFFB8,SC91CF33EDD66,NRG,Main_Song_Database.csv Playlists column,
RC97EE5397D24,SD443586645D2,NRG,Main_Song_Database.csv Playlists column,
RDE1FDD0EEB5F,S84D8BD38FC54,NRG,Main_Song_Database.csv Playlists column,
R6600521109C8,S05E801DD3090,NRG,Main_Song_Database.csv Playlists column,
RB73BB6FE0526,SC5711D1C52AE,NRG,Main_Song_Database.csv Playlists column,
RC880CF870E7E,S4A3DFA51BC6C,NRG,Main_Song_Database.csv Playlists column,
REA1E7D70A9F2,SA2EF2CC2D60C,NRG,Main_Song_Database.csv Playlists column,
RB04A5A8EA578,S7FA807D1B249,NRG,Main_Song_Database.csv Playlists column,
R25892EFCFE4F,SB24DC27F6213,NRG,Main_Song_Database.csv Playlists column,
R75027FA245FD,S04316A23C89E,NRG,Main_Song_Database.csv Playlists column,
R7C4B638B6A52,S25D5F9F5FF74,NRG,Main_Song_Database.csv Playlists column,
RCC701511CD1A,S1577B62CBAC9,NRG,Main_Song_Database.csv Playlists column,
R752203F8AB6F,S0B6D8439A0AE,NRG,Main_Song_Database.csv Playlists column,
RBAC99A1BC09C,S1852B476A521,NRG,Main_Song_Database.csv Playlists column,
R6AFB2A3146D5,S76D67837665D,NRG,Main_Song_Database.csv Playlists column,
R49F6C2F7066E,S04D34310F435,NRG,Main_Song_Database.csv Playlists column,
