Recording ID,Site,Verified URL,Search URL,Match Type,Confidence,Notes
R110C0EE2AF4B,Ultimate Guitar,,https://www.ultimate-guitar.com/search.php?search_type=title&value=%24olal+Dancing+Queen+%28feat.+Melonie+Cannon%29,Search Query,Low,"Prefer Official Tab, fallback to highest rated."
R110C0EE2AF4B,SecondHandSongs,,https://secondhandsongs.com/search?search_text=%24olal+Dancing+Queen+%28feat.+Melonie+Cannon%29,Search Query,Low,Requires exact title/artist match.
R110C0EE2AF4B,WhoSampled,,https://www.whosampled.com/search/?q=%24olal+Dancing+Queen+%28feat.+Melonie+Cannon%29,Search Query,Low,Requires exact title/artist match.
R437DAB2B44ED,Ultimate Guitar,,https://www.ultimate-guitar.com/search.php?search_type=title&value=%28%28%28%28%29%29%29%29%2C+8D+Music%2C+%26+Tazzy+8D+Songs+vol.+1+%7C+TikTok+8D+Music%2C+8D+Hits%2C+8D+Pop+Songs%2C+8D+TikTok+Hits%2C+8D+Audio+Music+Mix+abcdefu+-+8D+Audio,Search Query,Low,"Prefer Official Tab, fallback to highest rated."
R437DAB2B44ED,SecondHandSongs,,https://secondhandsongs.com/search?search_text=%28%28%28%28%29%29%29%29%2C+8D+Music%2C+%26+Tazzy+8D+Songs+vol.+1+%7C+TikTok+8D+Music%2C+8D+Hits%2C+8D+Pop+Songs%2C+8D+TikTok+Hits%2C+8D+Audio+Music+Mix+abcdefu+-+8D+Audio,Search Query,Low,Requires exact title/artist match.
R437DAB2B44ED,WhoSampled,,https://www.whosampled.com/search/?q=%28%28%28%28%29%29%29%29%2C+8D+Music%2C+%26+Tazzy+8D+Songs+vol.+1+%7C+TikTok+8D+Music%2C+8D+Hits%2C+8D+Pop+Songs%2C+8D+TikTok+Hits%2C+8D+Audio+Music+Mix+abcdefu+-+8D+Audio,Search Query,Low,Requires exact title/artist match.
RF777916881F1,Ultimate Guitar,,https://www.ultimate-guitar.com/search.php?search_type=title&value=%28chamber+ensemble+version%29+%7C+stories%2C+Monica+Martin+Play+the+Game+-+Queen,Search Query,Low,"Prefer Official Tab, fallback to highest rated."
RF777916881F1,SecondHandSongs,,https://secondhandsongs.com/search?search_text=%28chamber+ensemble+version%29+%7C+stories%2C+Monica+Martin+Play+the+Game+-+Queen,Search Query,Low,Requires exact title/artist match.
RF777916881F1,WhoSampled,,https://www.whosampled.com/search/?q=%28chamber+ensemble+version%29+%7C+stories%2C+Monica+Martin+Play+the+Game+-+Queen,Search Query,Low,Requires exact title/artist match.
R0444B878B34C,Ultimate Guitar,,https://www.ultimate-guitar.com/search.php?search_type=title&value=%2ANSYNC+Bye+Bye+Bye,Search Query,Low,"Prefer Official Tab, fallback to highest rated."
R0444B878B34C,SecondHandSongs,,https://secondhandsongs.com/search?search_text=%2ANSYNC+Bye+Bye+Bye,Search Query,Low,Requires exact title/artist match.
R0444B878B34C,WhoSampled,,https://www.whosampled.com/search/?q=%2ANSYNC+Bye+Bye+Bye,Search Query,Low,Requires exact title/artist match.
R4F296E856EA4,Ultimate Guitar,,https://www.ultimate-guitar.com/search.php?search_type=title&value=0triptiger0+Bob+Moses+-+Need+You+Tonight,Search Query,Low,"Prefer Official Tab, fallback to highest rated."
R4F296E856EA4,SecondHandSongs,,https://secondhandsongs.com/search?search_text=0triptiger0+Bob+Moses+-+Need+You+Tonight,Search Query,Low,Requires exact title/artist match.
R4F296E856EA4,WhoSampled,,https://www.whosampled.com/search/?q=0triptiger0+Bob+Moses+-+Need+You+Tonight,Search Query,Low,Requires exact title/artist match.
RDD9AF9D09D48,Ultimate Guitar,,https://www.ultimate-guitar.com/search.php?search_type=title&value=10%2C000+Maniacs+Because+the+Night,Search Query,Low,"Prefer Official Tab, fallback to highest rated."
RDD9AF9D09D48,SecondHandSongs,,https://secondhandsongs.com/search?search_text=10%2C000+Maniacs+Because+the+Night,Search Query,Low,Requires exact title/artist match.
RDD9AF9D09D48,WhoSampled,,https://www.whosampled.com/search/?q=10%2C000+Maniacs+Because+the+Night,Search Query,Low,Requires exact title/artist match.
R006FA7568E95,Ultimate Guitar,,https://www.ultimate-guitar.com/search.php?search_type=title&value=10%2C000+Maniacs+Candy+Everybody+Wants,Search Query,Low,"Prefer Official Tab, fallback to highest rated."
R006FA7568E95,SecondHandSongs,,https://secondhandsongs.com/search?search_text=10%2C000+Maniacs+Candy+Everybody+Wants,Search Query,Low,Requires exact title/artist match.
R006FA7568E95,WhoSampled,,https://www.whosampled.com/search/?q=10%2C000+Maniacs+Candy+Everybody+Wants,Search Query,Low,Requires exact title/artist match.
REF8DF2E4F289,Ultimate Guitar,,https://www.ultimate-guitar.com/search.php?search_type=title&value=10%2C000+Maniacs+These+Are+Days,Search Query,Low,"Prefer Official Tab, fallback to highest rated."
REF8DF2E4F289,SecondHandSongs,,https://secondhandsongs.com/search?search_text=10%2C000+Maniacs+These+Are+Days,Search Query,Low,Requires exact title/artist match.
REF8DF2E4F289,WhoSampled,,https://www.whosampled.com/search/?q=10%2C000+Maniacs+These+Are+Days,Search Query,Low,Requires exact title/artist match.
RF8A0AF399C2A,Ultimate Guitar,,https://www.ultimate-guitar.com/search.php?search_type=title&value=1000+Mona+Lisas+You+Oughta+Know,Search Query,Low,"Prefer Official Tab, fallback to highest rated."
RF8A0AF399C2A,SecondHandSongs,,https://secondhandsongs.com/search?search_text=1000+Mona+Lisas+You+Oughta+Know,Search Query,Low,Requires exact title/artist match.
RF8A0AF399C2A,WhoSampled,,https://www.whosampled.com/search/?q=1000+Mona+Lisas+You+Oughta+Know,Search Query,Low,Requires exact title/artist match.
RF89A633F3CB0,Ultimate Guitar,,https://www.ultimate-guitar.com/search.php?search_type=title&value=10cc+I%27m+Not+In+Love,Search Query,Low,"Prefer Official Tab, fallback to highest rated."
RF89A633F3CB0,SecondHandSongs,,https://secondhandsongs.com/search?search_text=10cc+I%27m+Not+In+Love,Search Query,Low,Requires exact title/artist match.
RF89A633F3CB0,WhoSampled,,https://www.whosampled.com/search/?q=10cc+I%27m+Not+In+Love,Search Query,Low,Requires exact title/artist match.
R89B7F97DB30D,Ultimate Guitar,,https://www.ultimate-guitar.com/search.php?search_type=title&value=13+And+God+Perfect+Speed,Search Query,Low,"Prefer Official Tab, fallback to highest rated."
R89B7F97DB30D,SecondHandSongs,,https://secondhandsongs.com/search?search_text=13+And+God+Perfect+Speed,Search Query,Low,Requires exact title/artist match.
R89B7F97DB30D,WhoSampled,,https://www.whosampled.com/search/?q=13+And+God+Perfect+Speed,Search Query,Low,Requires exact title/artist match.
RA4E6F31846F8,Ultimate Guitar,,https://www.ultimate-guitar.com/search.php?search_type=title&value=2+Unlimited+Get+Ready+for+This+%28radio+edit%29,Search Query,Low,"Prefer Official Tab, fallback to highest rated."
RA4E6F31846F8,SecondHandSongs,,https://secondhandsongs.com/search?search_text=2+Unlimited+Get+Ready+for+This+%28radio+edit%29,Search Query,Low,Requires exact title/artist match.
RA4E6F31846F8,WhoSampled,,https://www.whosampled.com/search/?q=2+Unlimited+Get+Ready+for+This+%28radio+edit%29,Search Query,Low,Requires exact title/artist match.
RDE87F22F8FCE,Ultimate Guitar,,https://www.ultimate-guitar.com/search.php?search_type=title&value=20th+Century+Folk+Selections+feat.+4%3A33+Todd+Clouser%27s+A+Love+Electric,Search Query,Low,"Prefer Official Tab, fallback to highest rated."
RDE87F22F8FCE,SecondHandSongs,,https://secondhandsongs.com/search?search_text=20th+Century+Folk+Selections+feat.+4%3A33+Todd+Clouser%27s+A+Love+Electric,Search Query,Low,Requires exact title/artist match.
RDE87F22F8FCE,WhoSampled,,https://www.whosampled.com/search/?q=20th+Century+Folk+Selections+feat.+4%3A33+Todd+Clouser%27s+A+Love+Electric,Search Query,Low,Requires exact title/artist match.
R1CD0A2311576,Ultimate Guitar,,https://www.ultimate-guitar.com/search.php?search_type=title&value=2Pac+California+Love,Search Query,Low,"Prefer Official Tab, fallback to highest rated."
R1CD0A2311576,SecondHandSongs,,https://secondhandsongs.com/search?search_text=2Pac+California+Love,Search Query,Low,Requires exact title/artist match.
R1CD0A2311576,WhoSampled,,https://www.whosampled.com/search/?q=2Pac+California+Love,Search Query,Low,Requires exact title/artist match.
R1374BA2F3679,Ultimate Guitar,,https://www.ultimate-guitar.com/search.php?search_type=title&value=2Pac+California+Love+%28feat.+Dr.+Dre+%26+Roger+Troutman%29,Search Query,Low,"Prefer Official Tab, fallback to highest rated."
R1374BA2F3679,SecondHandSongs,,https://secondhandsongs.com/search?search_text=2Pac+California+Love+%28feat.+Dr.+Dre+%26+Roger+Troutman%29,Search Query,Low,Requires exact title/artist match.
R1374BA2F3679,WhoSampled,,https://www.whosampled.com/search/?q=2Pac+California+Love+%28feat.+Dr.+Dre+%26+Roger+Troutman%29,Search Query,Low,Requires exact title/artist match.
R2DADA62F8959,Ultimate Guitar,,https://www.ultimate-guitar.com/search.php?search_type=title&value=2Pac+California+Love+%28remix%29+%28feat.+Dr.+Dre+%26+Roger+Troutman%29,Search Query,Low,"Prefer Official Tab, fallback to highest rated."
R2DADA62F8959,SecondHandSongs,,https://secondhandsongs.com/search?search_text=2Pac+California+Love+%28remix%29+%28feat.+Dr.+Dre+%26+Roger+Troutman%29,Search Query,Low,Requires exact title/artist match.
R2DADA62F8959,WhoSampled,,https://www.whosampled.com/search/?q=2Pac+California+Love+%28remix%29+%28feat.+Dr.+Dre+%26+Roger+Troutman%29,Search Query,Low,Requires exact title/artist match.
R7537734D0B2C,Ultimate Guitar,,https://www.ultimate-guitar.com/search.php?search_type=title&value=2WEI+Mad+World,Search Query,Low,"Prefer Official Tab, fallback to highest rated."
R7537734D0B2C,SecondHandSongs,,https://secondhandsongs.com/search?search_text=2WEI+Mad+World,Search Query,Low,Requires exact title/artist match.
R7537734D0B2C,WhoSampled,,https://www.whosampled.com/search/?q=2WEI+Mad+World,Search Query,Low,Requires exact title/artist match.
R61C7D673F99B,Ultimate Guitar,,https://www.ultimate-guitar.com/search.php?search_type=title&value=2WEI%2C+Tommee+Profitt+%26+Fleurie+Mad+World+Mad+World,Search Query,Low,"Prefer Official Tab, fallback to highest rated."
R61C7D673F99B,SecondHandSongs,,https://secondhandsongs.com/search?search_text=2WEI%2C+Tommee+Profitt+%26+Fleurie+Mad+World+Mad+World,Search Query,Low,Requires exact title/artist match.
R61C7D673F99B,WhoSampled,,https://www.whosampled.com/search/?q=2WEI%2C+Tommee+Profitt+%26+Fleurie+Mad+World+Mad+World,Search Query,Low,Requires exact title/artist match.
R4B0D798262CE,Ultimate Guitar,,https://www.ultimate-guitar.com/search.php?search_type=title&value=2WEITommee+Profitt+%26+Fleurie+Mad+World,Search Query,Low,"Prefer Official Tab, fallback to highest rated."
R4B0D798262CE,SecondHandSongs,,https://secondhandsongs.com/search?search_text=2WEITommee+Profitt+%26+Fleurie+Mad+World,Search Query,Low,Requires exact title/artist match.
R4B0D798262CE,WhoSampled,,https://www.whosampled.com/search/?q=2WEITommee+Profitt+%26+Fleurie+Mad+World,Search Query,Low,Requires exact title/artist match.
R90C1530EB182,Ultimate Guitar,,https://www.ultimate-guitar.com/search.php?search_type=title&value=2WEITommee+Profitt+feat.+Fleurie+Mad+World,Search Query,Low,"Prefer Official Tab, fallback to highest rated."
R90C1530EB182,SecondHandSongs,,https://secondhandsongs.com/search?search_text=2WEITommee+Profitt+feat.+Fleurie+Mad+World,Search Query,Low,Requires exact title/artist match.
R90C1530EB182,WhoSampled,,https://www.whosampled.com/search/?q=2WEITommee+Profitt+feat.+Fleurie+Mad+World,Search Query,Low,Requires exact title/artist match.
