Title,Base Title,Artist,Album,Duration,Genre,Year,Original Artist,Cover Song,Orig Artist,Covering Artist,Source Files,Original Data,Energy,BPM,Vibe,Discogs Verified,Spotify Verified,MusicBrainz Verified,iTunes Verified,Spotify ID,Playlists,Spotify Input Title,Spotify Input Artist,Spotify Matched Title,Spotify Matched Artist,Spotify Artist Changed,Spotify Artist Similarity,Spotify Popularity,Spotify Track ID,Spotify Match Method,Spotify Match Score,Spotify Search Strategy,Spotify ISRC,Spotify Album,Spotify Release Date,Spotify Duration (ms),Spotify MusicBrainz ID,Spotify MBID Method,Spotify BPM,Spotify Key,Spotify Scale,Spotify Key Full,Spotify Energy Level,Spotify Danceability,Spotify Vocal Type,Spotify Mood Happy,Spotify Mood Sad,Spotify Mood Aggressive,Spotify Mood Relaxed,Spotify Mood Party,Spotify Genre,Spotify Genre Detail,Spotify LastFM Tags,Spotify Vibe,Spotify AB Source,Alternate Albums,Duplicate Merge Notes
A Thousand Miles,A Thousand Miles,Vanessa Carlton,Be Not Nobody,3:50,,2002.0,,No,,,"merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",Title: A Thousand Miles - Vanessa Carlton (acoustic) | Original Artist Col: Ant Je | Album Col: nan | Duration: 3:50 | YouTube Music source file; verified via Spotify,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bang Bang,Bang Bang,Monophonics,In Your Brain,3:37,,2012.0,,No,,,"merged_playlist.csv, YTMusic\1theshow.csv",Title: Monophonics - Bang Bang | Original Artist Col: AnnaR21 | Album Col: nan | Duration: 3:37 | YouTube Music source file; verified via iTunes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Because You Move Me,Because You Move Me,"Tinlicker, Helsloot",Because You Move Me,3:17,,2017.0,,No,,,"music library songs.csv, merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",Video ID: 6RgffY0IB8Q | Song Title: Because You Move Me ; Title: Because You Move Me | Original Artist Col: Tinlicker - Topic | Album Col: nan | Duration: 3:17 | YouTube Music source file; verified via Spotify,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Love (feat. Dr. Dre & Roger Troutman) [Remix],California Love (feat. Dr. Dre & Roger Troutman) [Remix],2Pac,,,,,,No,,,YTMusic\music-uploads\California Love (feat. Dr. Dre _ Roger Troutman).mp3,File: California Love (feat. Dr. Dre _ Roger Troutman).mp3 | Parsed Title: California Love (feat. Dr. Dre Roger Troutman) | Parsed Artist: | Parsed Album: | YouTube Music source file; verified via iTunes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chillout Lounge - Calm & Relaxing Background Music | Study, Work, Sleep, Meditation, Chill
    
      
        
        
          Live","Chillout Lounge - Calm & Relaxing Background Music | Study, Work, Sleep, Meditation, Chill
    
      
        
        
          Live",The Good Life Radio x Sensual Musique,Pure Relaxing Chillout Music,2:33,,2019.0,,No,,,"merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv","Title: Chillout Lounge - Calm & Relaxing Background Music | Study, Work, Sleep, Meditation, Chill
    
      
        
        
          Live | Original Artist Col: The Good Life Radio x Sensual Musique | Album Col: nan | Duration: nan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clumsy feat. Michael Stipe,Clumsy feat. Michael Stipe,Stéphane Pompougnac,,,,,,No,,,spotify_popularity_results.csv,Spotify Track ID: 1J2oQWXPLE4a3xnQDn5VDi | Popularity: 0 | Match Method: exact | LastFM Tags: | verified via Spotify,,,,,Yes,,,,,Clumsy Feat. Michael Stipe,Stephane Pompougnac,Clumsy feat. Michael Stipe,Stéphane Pompougnac,NO,1,0,1J2oQWXPLE4a3xnQDn5VDi,exact,1,exact,,,,,,none,,,,,,,,,,,,,,,,,,,
Darkwave Surfer,Darkwave Surfer,Aural Vampire,Kerguelen Vortex,4:47,,2011.0,,No,,,"merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",Title: Aural vampire - Darkwave surfer | Original Artist Col: Becky Stone | Album Col: nan | Duration: 4:47 | YouTube Music source file; verified via iTunes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eden,Eden,Hooverphonic,Blue Wonder Power Milk,3:36,,1998.0,,No,,,"merged_playlist.csv, YTMusic\and now forr listen.csv",Title: Eden (Official Video) | Original Artist Col: Hooverphonic | Album Col: nan | Duration: 3:36 | YouTube Music source file; verified via iTunes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fade Into You (Live),Fade Into You (Live),Mazzy Star,So Tonight That I Might See,4:23,Pop,1993.0,,No,,,"merged_playlist.csv, YTMusic\and now forr listen.csv",Title: Mazzy Star - Fade Into You (Live) | Original Artist Col: Alt Vault Alt Vault - Alternative Rock Live - Volume 10 | Album Col: nan | Duration: 4:23 | YouTube Music source file; verified via iTunes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faster Car,Faster Car,Loving Caliber,Chemicals (Instrumental Version),2:42,,2017.0,,No,,,"merged_playlist.csv, YTMusic\1111.csv, YTMusic\liked_music_playlist (3).csv",Title: Faster Car - Loving Caliber [Aphmau Official] | Original Artist Col: Aphmau | Album Col: nan | Duration: 2:42 | YouTube Music source file; verified via iTunes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In the Air Tonight (Panski & John Skyfield Remix) [Mixed],In the Air Tonight (Panski & John Skyfield Remix) [Mixed],Phil Collins,Face Value (Deluxe Editon),6:35,,1981.0,,No,,,"merged_playlist.csv, YTMusic\forgarageb.csv",Title: Phil Collins - In The Air Tonight (Panski & John Skyfield Remix) | Original Artist Col: Sharapov | Album Col: nan | Duration: 6:35 | YouTube Music source file; verified via iTunes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marea (We’ve Lost Dancing),Marea (We’ve Lost Dancing),Fred again.. & The Blessed Madonna,Live at Glastonbury 2023: Other Stage,4:46,Electronic,2020.0,,No,,,"merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv, YTMusic\pumphouse1.csv",Title: Marea (we've lost dancing) | Original Artist Col: Fred again.. & The Blessed Madonna Actual Life (April 14 - December 17 2020) | Album Col: nan | Duration: 4:46 | YouTube Music source file; verified via iTunes,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morning Child - Radio Edit,Morning Child - Radio Edit,4 Hero,Don't You Worry Child (feat. John Martin) - EP,3:32,"Trip-Hop ""
40 Winks",2012.0,,No,,,"trip hop songhs long lis2t.txt, drive-download-20260627T091940Z-3-001\TRIP-HOP SONGS GOOD LIST.doc.docx, drive-download-20260627T091940Z-3-001\triphopsonghslonglist.txt.html","4 Hero"", ""Morning Child - Radio Edit"", ""Trip-Hop ""
40 Winks"""", ""Melancholia (Bonus)"", """"Trip-Hop ; 4hero,Morning Child - Radio Edit | 1 ; 4 Hero"",""Morning Child - Radio Edit",,,,Yes,,,,,,Morning Child - Radio Edit,4 Hero,Morning Routine - Radio Edit,CoComelon,YES,0.2667,8,51BqZ28RHNx34IoG4lRfmO,fuzzy,0.5913,title_only,,,,,,none,,,,,,,,,,,,,,,,,,,
Paradise Circus,Paradise Circus,"Massive Attack, Hope Sandoval",Heligoland,5:15,,2010.0,,No,,,"merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",Title: Massive Attack - Paradise Circus | Original Artist Col: shinemyshoes | Album Col: nan | Duration: 5:15 | YouTube Music source file; verified via Spotify,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summer Jam (Video Edit) [feat. U-Jean],Summer Jam (Video Edit) [feat. U-Jean],R.I.O.,Turn This Club Around (Limited Edition),3:03,Dance,2011.0,,No,,,"music library songs.csv, merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",Video ID: qon61bLXCpY | Song Title: Summer Jam (Video Edit) | Album Title: Turn This Club Around (Limited Edition) | Artist Name 1: R.I.O. feat. U-Jean ; Title: Summer Jam (Video Edit) | Original Artist Col: R.I.O. feat. U-Jean Turn This Club Around (Limited Edition) | Album Col: nan | Duration: 3:03 | YouTube Music source file; verified via iTunes,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Time Is Now,The Time Is Now,Moloko,Things to Make and Do,5:10,,2000.0,,No,,,"merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",Title: Moloko - The Time is Now | Original Artist Col: Augustus11 | Album Col: nan | Duration: 5:10 | YouTube Music source file; verified via iTunes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two Bodies (feat. Emma Louise),Two Bodies (feat. Emma Louise),Flight Facilities,,,,,,No,,,spotify_popularity_results.csv,Spotify Track ID: | Popularity: | Match Method: not_found | LastFM Tags: | verified via iTunes,,,,,No,,Yes,,,Flight Facilities Ft. Emma Louise - Two Bodies,Ahmed Redha,,,,,,,not_found,,none,,,,,,none,,,,,,,,,,,,,,,,,,,
Two Bodies (feat. Emma Louise),Two Bodies (feat. Emma Louise),Flight Facilities,Dark Side of the Moon,6:08,Electronic,2014.0,,No,,,music library songs.csv,Video ID: I12_KMy1wdE | Song Title: Flight Facilities Ft. Emma Louise - Two Bodies | Album Title: Dark Side of the Moon | Artist Name 1: Ahmed Redha | Artist Name 2: Emma Louise - Two Bodies | verified via iTunes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two Bodies (feat. Emma Louise) [HNNY Remix] [Mixed],Two Bodies (feat. Emma Louise) [HNNY Remix] [Mixed],Flight Facilities,Down to Earth,3:19,Electronic,2014.0,,No,,,"merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",Title: Flight Facilities Ft. Emma Louise - Two Bodies (feat. Emma Louise - Two Bodies) | Original Artist Col: Ahmed Redha Dark Side of the Moon | Album Col: nan | Duration: 3:19 | YouTube Music source file; verified via iTunes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voices (feat. Hindi Zarha),Voices (feat. Hindi Zarha),Blundetto,Bad Bad Things,3:03,,2010.0,,No,,,"merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",Title: Voices | Original Artist Col: Blundetto - Topic | Album Col: nan | Duration: 3:03 | YouTube Music source file; verified via iTunes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What Becomes of Us? (Nesting Dolls Edit),What Becomes of Us? (Nesting Dolls Edit),Cinephile,Collected Works,4:21,,2016.0,,No,,,"merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",Title: Cinephile - What Becomes Of Us (Nesting Dolls Edit) | Original Artist Col: NightwolfX19 | Album Col: nan | Duration: 4:21 | YouTube Music source file; verified via iTunes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Without You (feat. Kerry Leatham),Without You (feat. Kerry Leatham),Lapalux,Nostalchic,5:26,Trip-Hop,2013.0,,No,,,TripHop Songlist.json,Lapalux - Without You (ft. Kerry Leatham) [Unbelievable Music Video] /u/John_the_Baptiste | verified via iTunes,,,,,,,Yes,,,Without You (ft. Kerry Leatham) [Unbelievable Music Video],Lapalux,Without You,Lapalux,NO,1,48,32CFVYfYT4wE1MTNWj66Rt,fuzzy,0.6062,free_text,,,,,,none,,,,,,,,,,,,,,,,,,,
