Recording ID,Song ID,Main DB CSV Line,Title,Canonical Title,Version,Artist,Original Artist,Covering Artist,Cover Song,Album,Alternate Albums,Release Year,Duration,Duration ms,Genre,Genre Detail,BPM,BPM Source,Key,Key Source,Scale,Time Signature,Tuning,Capo,Guitar Difficulty,Bass Difficulty,Drum Difficulty,Vocal Range,Instrumentation,Main Riff/Hook,Solo,Arrangement Notes,Mood Tags,Event Tags,Situation Tags,Setlist Role,Crowd Energy,Danceability,Vocal Type,Explicit/Lyric Risk,Playlists,Source Files,Spotify Track ID,Legacy Spotify ID,Spotify ISRC,Spotify Popularity,Spotify Verified,Spotify Match Method,Spotify Match Score,MusicBrainz Recording ID,MusicBrainz Verified,Discogs Verified,iTunes Verified,SecondHandSongs Search URL,SecondHandSongs Verified URL,SecondHandSongs Link Status,WhoSampled Search URL,WhoSampled Verified URL,WhoSampled Link Status,Ultimate Guitar Search URL,Ultimate Guitar Official Tab URL,Ultimate Guitar Best Tab URL,Ultimate Guitar Tab Preference,Ultimate Guitar Tab Status,Duplicate Merge Notes,Data Quality Notes
R070B053810B6,SAF70F8EF9F3D,392,Fade Into You (Live),Fade Into You (Live),live,Mazzy Star,,,No,So Tonight That I Might See,,1993.0,4:23,,Pop,,,,,,,,,,,,,,,,,,,,,,,,,,,"merged_playlist.csv, YTMusic\and now forr listen.csv",,,,,,,,,,,Yes,https://www.google.com/search?q=site%3Asecondhandsongs.com+Fade+Into+You+%28Live%29+Mazzy+Star,,search_link_generated,https://www.google.com/search?q=site%3Awhosampled.com+Fade+Into+You+%28Live%29+Mazzy+Star,,search_link_generated,https://www.ultimate-guitar.com/search.php?search_type=title&value=Fade+Into+You+%28Live%29+Mazzy+Star,,,official_tab_then_most_popular,search_link_generated,,
R1731223EF345,SA57A55BCA0D6,599,Faster Car,Faster Car,instrumental,Loving Caliber,,,No,Chemicals (Instrumental Version),,2017.0,2:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"merged_playlist.csv, YTMusic\1111.csv, YTMusic\liked_music_playlist (3).csv",,,,,,,,,,,Yes,https://www.google.com/search?q=site%3Asecondhandsongs.com+Faster+Car+Loving+Caliber,,search_link_generated,https://www.google.com/search?q=site%3Awhosampled.com+Faster+Car+Loving+Caliber,,search_link_generated,https://www.ultimate-guitar.com/search.php?search_type=title&value=Faster+Car+Loving+Caliber,,,official_tab_then_most_popular,search_link_generated,,
R2AC5379CE153,SACBC51F96979,4485,Without You (feat. Kerry Leatham),Without You (feat. Kerry Leatham),studio/original unless noted,Lapalux,,,No,Nostalchic,,2013.0,5:26,,Trip-Hop,,,,,,,,,,,,,,,,,,,,,,,,,,,TripHop Songlist.json,32CFVYfYT4wE1MTNWj66Rt,,,48,,fuzzy,0.6062,,,,Yes,https://www.google.com/search?q=site%3Asecondhandsongs.com+Without+You+%28feat.+Kerry+Leatham%29+Lapalux,,search_link_generated,https://www.google.com/search?q=site%3Awhosampled.com+Without+You+%28feat.+Kerry+Leatham%29+Lapalux,,search_link_generated,https://www.ultimate-guitar.com/search.php?search_type=title&value=Without+You+%28feat.+Kerry+Leatham%29+Lapalux,,,official_tab_then_most_popular,search_link_generated,,
R2FBF40F92458,SD1BF7BDD38FA,1376,Voices (feat. Hindi Zarha),Voices (feat. Hindi Zarha),studio/original unless noted,Blundetto,,,No,Bad Bad Things,,2010.0,3:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",,,,,,,,,,,Yes,https://www.google.com/search?q=site%3Asecondhandsongs.com+Voices+%28feat.+Hindi+Zarha%29+Blundetto,,search_link_generated,https://www.google.com/search?q=site%3Awhosampled.com+Voices+%28feat.+Hindi+Zarha%29+Blundetto,,search_link_generated,https://www.ultimate-guitar.com/search.php?search_type=title&value=Voices+%28feat.+Hindi+Zarha%29+Blundetto,,,official_tab_then_most_popular,search_link_generated,,
R3CF17A391D2E,S6B8E49B1CAA2,767,The Time Is Now,The Time Is Now,studio/original unless noted,Moloko,,,No,Things to Make and Do,,2000.0,5:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",,,,,,,,,,,Yes,https://www.google.com/search?q=site%3Asecondhandsongs.com+The+Time+Is+Now+Moloko,,search_link_generated,https://www.google.com/search?q=site%3Awhosampled.com+The+Time+Is+Now+Moloko,,search_link_generated,https://www.ultimate-guitar.com/search.php?search_type=title&value=The+Time+Is+Now+Moloko,,,official_tab_then_most_popular,search_link_generated,,
R3E45CED9EA79,SB29C8C8F69AD,3038,Marea (We've Lost Dancing),Marea (We've Lost Dancing),live,Fred again.. & The Blessed Madonna,,,No,Live at Glastonbury 2023: Other Stage,,2020.0,4:46,,Electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,"merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv, YTMusic\pumphouse1.csv",,,,,,,,,Yes,,Yes,https://www.google.com/search?q=site%3Asecondhandsongs.com+Marea+%28We%E2%80%99ve+Lost+Dancing%29+Fred+again..+%26+The+Blessed+Madonna,,search_link_generated,https://www.google.com/search?q=site%3Awhosampled.com+Marea+%28We%E2%80%99ve+Lost+Dancing%29+Fred+again..+%26+The+Blessed+Madonna,,search_link_generated,https://www.ultimate-guitar.com/search.php?search_type=title&value=Marea+%28We%E2%80%99ve+Lost+Dancing%29+Fred+again..+%26+The+Blessed+Madonna,,,official_tab_then_most_popular,search_link_generated,,
R48F3B3ED07E6,S66CAE3272D11,9668,Two Bodies (feat. Emma Louise),Two Bodies (feat. Emma Louise),studio/original unless noted,Flight Facilities,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spotify_popularity_results.csv,,,,,No,not_found,,,,,Yes,https://www.google.com/search?q=site%3Asecondhandsongs.com+Two+Bodies+%28feat.+Emma+Louise%29+Flight+Facilities,,search_link_generated,https://www.google.com/search?q=site%3Awhosampled.com+Two+Bodies+%28feat.+Emma+Louise%29+Flight+Facilities,,search_link_generated,https://www.ultimate-guitar.com/search.php?search_type=title&value=Two+Bodies+%28feat.+Emma+Louise%29+Flight+Facilities,,,official_tab_then_most_popular,search_link_generated,,
R4CEC369080D7,SF07CF1ABB616,9667,Clumsy feat. Michael Stipe,Clumsy feat. Michael Stipe,studio/original unless noted,Stéphane Pompougnac,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spotify_popularity_results.csv,1J2oQWXPLE4a3xnQDn5VDi,,,0,Yes,exact,1,,,,,https://www.google.com/search?q=site%3Asecondhandsongs.com+Clumsy+feat.+Michael+Stipe+St%C3%A9phane+Pompougnac,,search_link_generated,https://www.google.com/search?q=site%3Awhosampled.com+Clumsy+feat.+Michael+Stipe+St%C3%A9phane+Pompougnac,,search_link_generated,https://www.ultimate-guitar.com/search.php?search_type=title&value=Clumsy+feat.+Michael+Stipe+St%C3%A9phane+Pompougnac,,,official_tab_then_most_popular,search_link_generated,,
R52FAB4F3674A,S43C3FE151CB2,8345,Because You Move Me,Because You Move Me,studio/original unless noted,"Tinlicker, Helsloot",,,No,Because You Move Me,,2017.0,3:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"music library songs.csv, merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",,,,,Yes,,,,,,,https://www.google.com/search?q=site%3Asecondhandsongs.com+Because+You+Move+Me+Tinlicker%2C+Helsloot,,search_link_generated,https://www.google.com/search?q=site%3Awhosampled.com+Because+You+Move+Me+Tinlicker%2C+Helsloot,,search_link_generated,https://www.ultimate-guitar.com/search.php?search_type=title&value=Because+You+Move+Me+Tinlicker%2C+Helsloot,,,official_tab_then_most_popular,search_link_generated,,
R59F01C9CEF14,SB63C6D770D0C,6803,Paradise Circus,Paradise Circus,studio/original unless noted,"Massive Attack, Hope Sandoval",,,No,Heligoland,,2010.0,5:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",,,,,Yes,,,,,,,https://www.google.com/search?q=site%3Asecondhandsongs.com+Paradise+Circus+Massive+Attack%2C+Hope+Sandoval,,search_link_generated,https://www.google.com/search?q=site%3Awhosampled.com+Paradise+Circus+Massive+Attack%2C+Hope+Sandoval,,search_link_generated,https://www.ultimate-guitar.com/search.php?search_type=title&value=Paradise+Circus+Massive+Attack%2C+Hope+Sandoval,,,official_tab_then_most_popular,search_link_generated,,
R76AB1EC9969E,S39D9F22F4E69,568,A Thousand Miles,A Thousand Miles,studio/original unless noted,Vanessa Carlton,,,No,Be Not Nobody,,2002.0,3:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",,,,,Yes,,,,,,,https://www.google.com/search?q=site%3Asecondhandsongs.com+A+Thousand+Miles+Vanessa+Carlton,,search_link_generated,https://www.google.com/search?q=site%3Awhosampled.com+A+Thousand+Miles+Vanessa+Carlton,,search_link_generated,https://www.ultimate-guitar.com/search.php?search_type=title&value=A+Thousand+Miles+Vanessa+Carlton,,,official_tab_then_most_popular,search_link_generated,,
R7964B3AEBFF3,S646346D8AEA0,6784,In the Air Tonight (Panski & John Skyfield Remix) [Mixed],In the Air Tonight (Panski & John Skyfield Remix) [Mixed],remix,Phil Collins,,,No,Face Value (Deluxe Editon),,1981.0,6:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"merged_playlist.csv, YTMusic\forgarageb.csv",,,,,,,,,,,Yes,https://www.google.com/search?q=site%3Asecondhandsongs.com+In+the+Air+Tonight+%28Panski+%26+John+Skyfield+Remix%29+%5BMixed%5D+Phil+Collins,,search_link_generated,https://www.google.com/search?q=site%3Awhosampled.com+In+the+Air+Tonight+%28Panski+%26+John+Skyfield+Remix%29+%5BMixed%5D+Phil+Collins,,search_link_generated,https://www.ultimate-guitar.com/search.php?search_type=title&value=In+the+Air+Tonight+%28Panski+%26+John+Skyfield+Remix%29+%5BMixed%5D+Phil+Collins,,,official_tab_then_most_popular,search_link_generated,,
R94253D500AC5,S7CC68992516E,9021,California Love (feat. Dr. Dre & Roger Troutman) [Remix],California Love (feat. Dr. Dre & Roger Troutman) [Remix],remix,2Pac,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YTMusic\music-uploads\California Love (feat. Dr. Dre _ Roger Troutman).mp3,,,,,,,,,,,Yes,https://www.google.com/search?q=site%3Asecondhandsongs.com+California+Love+%28feat.+Dr.+Dre+%26+Roger+Troutman%29+%5BRemix%5D+2Pac,,search_link_generated,https://www.google.com/search?q=site%3Awhosampled.com+California+Love+%28feat.+Dr.+Dre+%26+Roger+Troutman%29+%5BRemix%5D+2Pac,,search_link_generated,https://www.ultimate-guitar.com/search.php?search_type=title&value=California+Love+%28feat.+Dr.+Dre+%26+Roger+Troutman%29+%5BRemix%5D+2Pac,,,official_tab_then_most_popular,search_link_generated,,
R9C3221F9E35D,S0FFB450912AE,3567,Eden,Eden,studio/original unless noted,Hooverphonic,,,No,Blue Wonder Power Milk,,1998.0,3:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"merged_playlist.csv, YTMusic\and now forr listen.csv",,,,,,,,,,,Yes,https://www.google.com/search?q=site%3Asecondhandsongs.com+Eden+Hooverphonic,,search_link_generated,https://www.google.com/search?q=site%3Awhosampled.com+Eden+Hooverphonic,,search_link_generated,https://www.ultimate-guitar.com/search.php?search_type=title&value=Eden+Hooverphonic,,,official_tab_then_most_popular,search_link_generated,,
RAB4817693F77,SFBE18530CFC3,553,Bang Bang,Bang Bang,studio/original unless noted,Monophonics,,,No,In Your Brain,,2012.0,3:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"merged_playlist.csv, YTMusic\1theshow.csv",,,,,,,,,,,Yes,https://www.google.com/search?q=site%3Asecondhandsongs.com+Bang+Bang+Monophonics,,search_link_generated,https://www.google.com/search?q=site%3Awhosampled.com+Bang+Bang+Monophonics,,search_link_generated,https://www.ultimate-guitar.com/search.php?search_type=title&value=Bang+Bang+Monophonics,,,official_tab_then_most_popular,search_link_generated,,
RB1EC57282896,SF8C818E6A4E9,184,Two Bodies (feat. Emma Louise) [HNNY Remix] [Mixed],Two Bodies (feat. Emma Louise) [HNNY Remix] [Mixed],remix,Flight Facilities,,,No,Down to Earth,,2014.0,3:19,,Electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,"merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",,,,,,,,,,,Yes,https://www.google.com/search?q=site%3Asecondhandsongs.com+Two+Bodies+%28feat.+Emma+Louise%29+%5BHNNY+Remix%5D+%5BMixed%5D+Flight+Facilities,,search_link_generated,https://www.google.com/search?q=site%3Awhosampled.com+Two+Bodies+%28feat.+Emma+Louise%29+%5BHNNY+Remix%5D+%5BMixed%5D+Flight+Facilities,,search_link_generated,https://www.ultimate-guitar.com/search.php?search_type=title&value=Two+Bodies+%28feat.+Emma+Louise%29+%5BHNNY+Remix%5D+%5BMixed%5D+Flight+Facilities,,,official_tab_then_most_popular,search_link_generated,,
RC8001438B328,S4EFF2A7F27DA,5557,What Becomes of Us? (Nesting Dolls Edit),What Becomes of Us? (Nesting Dolls Edit),studio/original unless noted,Cinephile,,,No,Collected Works,,2016.0,4:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",,,,,,,,,,,Yes,https://www.google.com/search?q=site%3Asecondhandsongs.com+What+Becomes+of+Us%3F+%28Nesting+Dolls+Edit%29+Cinephile,,search_link_generated,https://www.google.com/search?q=site%3Awhosampled.com+What+Becomes+of+Us%3F+%28Nesting+Dolls+Edit%29+Cinephile,,search_link_generated,https://www.ultimate-guitar.com/search.php?search_type=title&value=What+Becomes+of+Us%3F+%28Nesting+Dolls+Edit%29+Cinephile,,,official_tab_then_most_popular,search_link_generated,,
RC88DCA8C1DC2,S3A3A35C58B3A,1053,Darkwave Surfer,Darkwave Surfer,studio/original unless noted,Aural Vampire,,,No,Kerguelen Vortex,,2011.0,4:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",,,,,,,,,,,Yes,https://www.google.com/search?q=site%3Asecondhandsongs.com+Darkwave+Surfer+Aural+Vampire,,search_link_generated,https://www.google.com/search?q=site%3Awhosampled.com+Darkwave+Surfer+Aural+Vampire,,search_link_generated,https://www.ultimate-guitar.com/search.php?search_type=title&value=Darkwave+Surfer+Aural+Vampire,,,official_tab_then_most_popular,search_link_generated,,
RD178C6E23DDE,S66CAE3272D11,185,Two Bodies (feat. Emma Louise),Two Bodies (feat. Emma Louise),studio/original unless noted,Flight Facilities,,,No,Dark Side of the Moon,,2014.0,6:08,,Electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,music library songs.csv,,,,,,,,,,,Yes,https://www.google.com/search?q=site%3Asecondhandsongs.com+Two+Bodies+%28feat.+Emma+Louise%29+Flight+Facilities,,search_link_generated,https://www.google.com/search?q=site%3Awhosampled.com+Two+Bodies+%28feat.+Emma+Louise%29+Flight+Facilities,,search_link_generated,https://www.ultimate-guitar.com/search.php?search_type=title&value=Two+Bodies+%28feat.+Emma+Louise%29+Flight+Facilities,,,official_tab_then_most_popular,search_link_generated,,
RFA0429E86F7D,S27CAC610D7BB,6259,Summer Jam (Video Edit) [feat. U-Jean],Summer Jam (Video Edit) [feat. U-Jean],studio/original unless noted,R.I.O.,,,No,Turn This Club Around (Limited Edition),,2011.0,3:03,,Dance,,,,,,,,,,,,,,,,,,,,,,,,,,,"music library songs.csv, merged_playlist.csv, YTMusic\liked_music_playlist (2).csv, YTMusic\liked_music_playlist.csv",,,,,,,,,Yes,,Yes,https://www.google.com/search?q=site%3Asecondhandsongs.com+Summer+Jam+%28Video+Edit%29+%5Bfeat.+U-Jean%5D+R.I.O.,,search_link_generated,https://www.google.com/search?q=site%3Awhosampled.com+Summer+Jam+%28Video+Edit%29+%5Bfeat.+U-Jean%5D+R.I.O.,,search_link_generated,https://www.ultimate-guitar.com/search.php?search_type=title&value=Summer+Jam+%28Video+Edit%29+%5Bfeat.+U-Jean%5D+R.I.O.,,,official_tab_then_most_popular,search_link_generated,,
